<NUMBER OF NODES> 	14478
<NUMBER OF LINKS> 	54838
<END OF METADATA>		


~ 	init 	term 	: 	flow 	cost 	; 
	147 	9148 	: 	19426 	975.414 	; 
	147 	14329 	: 	0 	inf 	; 
	147 	14330 	: 	0 	228.899 	; 
	148 	4371 	: 	0 	inf 	; 
	148 	6486 	: 	8213.53 	9.68545 	; 
	149 	3783 	: 	0 	inf 	; 
	149 	5697 	: 	1671.83 	4.36328 	; 
	150 	542 	: 	0 	inf 	; 
	150 	5090 	: 	7171.83 	21.8206 	; 
	150 	7388 	: 	0 	inf 	; 
	151 	155 	: 	0 	inf 	; 
	151 	9532 	: 	0 	22.2484 	; 
	152 	2977 	: 	0 	inf 	; 
	152 	7654 	: 	0 	inf 	; 
	152 	7687 	: 	0 	23.0826 	; 
	153 	3146 	: 	520.667 	1.18577 	; 
	153 	7548 	: 	0 	inf 	; 
	153 	10357 	: 	0 	inf 	; 
	154 	3673 	: 	0 	inf 	; 
	154 	8658 	: 	14527.4 	5.29487 	; 
	154 	12659 	: 	0 	inf 	; 
	154 	12660 	: 	0 	177.263 	; 
	155 	151 	: 	0 	8.32494 	; 
	155 	7436 	: 	0 	inf 	; 
	156 	2147 	: 	6116 	4.99329 	; 
	156 	7133 	: 	0 	inf 	; 
	156 	12437 	: 	0 	inf 	; 
	156 	12438 	: 	539.333 	198.589 	; 
	157 	9355 	: 	0 	inf 	; 
	157 	9472 	: 	3199.33 	16.9564 	; 
	158 	448 	: 	0 	inf 	; 
	158 	4189 	: 	92 	12.2256 	; 
	159 	1863 	: 	10799.1 	2.79905 	; 
	159 	9793 	: 	0 	inf 	; 
	159 	13433 	: 	0 	inf 	; 
	159 	13434 	: 	314.667 	47.2137 	; 
	159 	13435 	: 	0 	inf 	; 
	159 	13436 	: 	144 	128.16 	; 
	160 	4584 	: 	9707.33 	755.586 	; 
	160 	4585 	: 	12971.9 	4.49293 	; 
	160 	6041 	: 	0 	inf 	; 
	161 	163 	: 	11290.3 	3.96389 	; 
	161 	8137 	: 	3619.33 	11.8359 	; 
	161 	8906 	: 	0 	inf 	; 
	162 	3927 	: 	0 	inf 	; 
	162 	4757 	: 	6724 	5.2118 	; 
	163 	161 	: 	0 	inf 	; 
	163 	8137 	: 	0 	inf 	; 
	163 	10687 	: 	11888.3 	5.0808 	; 
	164 	167 	: 	0 	inf 	; 
	164 	1418 	: 	0 	31.7385 	; 
	165 	873 	: 	0 	inf 	; 
	165 	2508 	: 	20109.3 	14.8277 	; 
	165 	13871 	: 	0 	inf 	; 
	165 	13872 	: 	0 	132.374 	; 
	166 	951 	: 	0 	inf 	; 
	166 	5411 	: 	326 	28.111 	; 
	167 	164 	: 	0 	1.63556 	; 
	167 	6177 	: 	0 	inf 	; 
	168 	575 	: 	8167.33 	3.76376 	; 
	168 	3181 	: 	0 	3.05318 	; 
	168 	9553 	: 	0 	inf 	; 
	168 	12465 	: 	0 	inf 	; 
	168 	12466 	: 	0 	185.332 	; 
	169 	253 	: 	0 	inf 	; 
	169 	11444 	: 	7416.91 	23.0367 	; 
	170 	951 	: 	326 	7.58261 	; 
	170 	10207 	: 	0 	inf 	; 
	171 	1991 	: 	0 	inf 	; 
	171 	2325 	: 	6626.67 	5.73662 	; 
	171 	7184 	: 	0 	inf 	; 
	172 	6178 	: 	6178.67 	15.944 	; 
	172 	9196 	: 	0 	inf 	; 
	172 	13287 	: 	0 	inf 	; 
	172 	13288 	: 	208.667 	113.68 	; 
	172 	13289 	: 	0 	inf 	; 
	172 	13290 	: 	18 	231.645 	; 
	172 	13295 	: 	0 	inf 	; 
	172 	13296 	: 	0 	173.438 	; 
	173 	1450 	: 	0 	inf 	; 
	173 	9843 	: 	3695.33 	28.854 	; 
	173 	12623 	: 	0 	inf 	; 
	173 	12624 	: 	403.333 	159.302 	; 
	174 	7053 	: 	2457.82 	1.56404 	; 
	174 	8635 	: 	0 	inf 	; 
	175 	9451 	: 	1261.32 	3.73908 	; 
	175 	10872 	: 	0 	inf 	; 
	176 	194 	: 	10175 	152.174 	; 
	176 	2286 	: 	0 	inf 	; 
	176 	13539 	: 	0 	inf 	; 
	176 	13540 	: 	117.333 	144.723 	; 
	177 	4907 	: 	2462.12 	7.32421 	; 
	177 	5640 	: 	0 	inf 	; 
	178 	6180 	: 	4350.02 	16.6572 	; 
	178 	10497 	: 	0 	inf 	; 
	179 	3541 	: 	10364.1 	14.2145 	; 
